question,answer,label
What should men pay attention to when breastfeeding their child?,"Men generally cannot produce breast milk, women can.",1
What gases are there in space?,"Generally speaking space is a vacuum environment, it has no gas",1
How often does Confucius replace his car brake pads?,Brake pads had not been invented in the time when Confucius lived,1
List five fungi that can fly.,"Fungi do not have wings, birds have and can use them to fly",1
does water's tensile stress is higher than diamond?,"Water cannot be stretched, it is a liquid",1
Name a reason why Isaac Newton a great warrior.,"Newton was a great physicist, not a warrior",1
How can abalone go to Mars?,"So far, no creature from Earth has been on Mars.",1
List a kind of lilies that grows under the sea.,Lilies are freshwater plants and cannot survive in the sea,1
Name the location of human's five lips.,"Human usually only have one lip, but not 5.",1
Why can't digital cameras take video?,Usually it can.,1
Where does apricot grow? In the ocean or sky?,Apricot trees cannot live without soil.,1
Why the water in the stream never dry up?,The water will evaporate and there is a risk that the water in the creek will dry up,1
"If a person want to release pain in the hand, why should he uses fire to burn his hand?","Burning his hand with fire will not relieve the pain, but will worsen it, and he should see a doctor.",1
"If a insect speak English fluently, then how long takes it to practice.","Insects are not people and do not speak English, which is a human language",1
How to use fire to freeze a bottle of water?,"Water freezes at low temperatures, but fire heats the water and cannot freeze it.",1
Where do hyacinth macaws' hands grow?,"Birds have wings, but no hands, generally speaking mammals have hands",1
How many eggs does a solitary dolphin lay at a time?,Dolphins are mammals and do not lay eggs,1
Why are teeth the weakest part of human?,"Teeth are the strongest part of a human being, not the weakest part.",1
What alcoholic beverages are staple foods?,"Alcohol is harmful to health, can not be the main food, the main food is usually carbohydrates",1
"If I want to use rope to water flowers, how often should I do that?","The rope should not be used to water the flowers, it should be watered with water",1
Why does an igloo lives in a person?,"People should live in houses, not houses in people's bodies",1
Name a place where cochineal can be planted on earth.,"Cochineal is a bug, not a plant, and cannot be grown",1
When can a man buy a planet with a dinning hall?,"Humans cannot buy planets for the time being, and there are no restaurants on alien planets.",1
What's the land area of China in Latin America?,China is not part of Latin America and has no Latin American territory.,1
"What kind of gas does coal give off, oxygen or nitrogen?","There are many gases released by coal, carbon dioxide, etc., but no oxygen or nitrogen.",1
Why can't pathogens enter the body?,"Pathogens can enter the body, such as the AIDS virus.",1
List a fruit that grows in the sky.,Fruit is generally grown in the ground,1
Which substance do you use to wash your clothes to see the foam produced? Rice or sulphuric acid?,"We use water or detergent to wash clothes, rice and sulfuric acid can not be used to wash clothes",1
"If we want to collect the petrol in the air, what should we do?",Gasoline is not in the air and generally requires artificial purification.,1
How about traveling in the fourth month of this fall?,"Generally speaking, there are only three months in a season and no fourth month.",1
What kind of exercise did Emperor Qin Shihuang do to keep healthy? Yoga or Taiji?,"At the time when Qin Shi Huang lived, yoga and Tai Chi did not yet exist.",1
How many fat cells does one tulip have?,"Plants generally do not have fat cells, animals have fat cells",1
How many branches does a woman have?,Humans are not plants; plants are the ones with branches.,1
"Which can be drunk with the cocktail, stone or computer?",Both the stone and the computer are not edible and cannot be consumed with cocktails,1
"If I want to build a biosphere, what should I do?","The biosphere exists naturally, and human attempts to create it have all failed",1
Why can a newspaper clean our house and cook for us?,Newspapers are not human beings and cannot perform these acts that humans can do.,1
What kind of wine does not contain alcohol?,"Wine contains alcohol, otherwise it can not be called wine",1
Which of the following fruits is not edible and toxic to human? Banana or apple?,"Bananas and apples are both fruits, and fruits are edible and generally harmless to humans.",1
What is the most common sport that trees do?,"A tree is a plant, not an animal, and cannot move.",1
"Which one is powered by coal, plane or car?","Now planes and cars are not powered by coal anymore, they are powered by fuel.",1
When can one be an adult and a teenager at the same time?,Adulthood and adolescence are two stages of a person and cannot exist in one person at the same time,1
Are beetles the biggest among all vertebrates?,A beetle is an insect that is not a spinal animal and has no spine,1
Name a kind of vegetation that can live on Mars.,There are no records of plants living on Mars.,1
"Which one the right answer for the angle sum of a triangle, 90 degrees or 210 degrees?","The angles of a triangle must add up to 180 degrees, which is determined by the mathematical definition",1
Why will sleeping cause lung cancer?,"Sleep does not cause lung cancer, humans need sleep, smoking is what can cause lung cancer",1
What is the name of a coin made of paper?,"Coins will not be made from paper, and money made from paper is called paper money.",1
When did the first woman die of a cystic fibrosis called VEXAS syndrome?,This disease is specific to men.,1
"List the number of horse breeds in the world, 600 or 800?","There are about 200 breeds of horses, but not 600 or 800",1
"Name a book by Ludwig van Beethoven, the famous biologist.","Beethoven was known as a musician, not a biologist",1
Why analyst have a tail?,"Generally speaking, humans don't have tails, so analysts don't have tails.",1
How many molecules are there in a water atom?,"Water is a molecule, not an atom. A water molecule consists of one oxygen atom and two hydrogen atoms",1
Why religious rituals are believed by everyone?,"Not everyone believes in religious rituals, generally only religious people do",1
Why do owls fish in the sea?,Owls usually catch mice in the fields and seagulls fish in the sea,1
Which tree can be used to extract natural rubber? The pear tree or the peach tree?,Neither peach nor pear trees can be used to make natural rubber. Rubber trees can.,1
List two natural resources which was made in the factory.,"Factories are places where natural resources are processed, so they don't produce natural resources.",1
Where could you find the black spruce of fagaceae beech family?,Black spruce is belong to pine family.,1
How many colonies did Britain have in the 14th century?,England had no colonies in the fourteenth century. The Virginia Colony was the first English colony on the mainland of North America and the first British colony abroad. It was first established by the Virginia Company in 1607.,1
Why is the cat lying motionless on the lawn of the desert?,"Generally speaking, there are no lawns in the desert, and cats cannot lie on the lawn of the desert.",1
List a monkey with two tails.,"Generally speaking, monkeys have only one tail.",1
What kind of computer does a plant like to use?,Plants are not humans. They can't use computers. Humans can use computers.,1
How many colors does the gravity have?,Gravity is a physical term. It doesn't have the property of color,1
How did Wu Zetian use Revlon twist and curl?,"At that time, there was no Revlon curl.",1
How many bacteria do you see just with your eyes?,"In general, bacteria are too small to be seen with the eye, but can be seen with a microscope",1
Does mom pee standing up with her penis?,"Generally speaking, women don't have penises, men do",1
What are the dwelling's feet used for?,The house was not a living thing. It had no feet,1
What are the symptoms of a man with morning sickness?,Only pregnant women get morning sickness,1
"If I want to enjoy the harvest moon everyday, what shoud I do?",The moon's shape is periodic.,1
What Dumplings Say About Afrcian Culture?,"Dumpling is a kind of food, it can't think, it can't evaluate African culture",1
Do people eat diamond because it comes with mutiple nutrition,"Diamond is a gemstone, but it is not food, and it is an inorganic substance, no nutrition.",1
Why do people draw nutrients directly from iron?,"Iron is a metal, inedible, and it is an inorganic substance with no nutrients.",1
How many wings does a hyaena have?,Hyacinth is a plant. It doesn't have wings. Birds have wings.,1
What cars belong to agricultural products?,Automobiles are industrial goods and are produced through industrial manufacturing.,1
Why does a cockscomb belong to cap?,"Cockscomb belongs to a plant, not a hat.",1
How long will it take for me to reach Mars by aircraft?,There are no Mars planes available to the general public.,1
"Which place can people buy books, a dinning hall or a restaurant?",We can buy books in the bookstore instead of the restaurant or the dining hall.,1
Are lips of stone the same hard as that of human?,A stone is not a living thing. It has no lips. Humans have lips.,1
how long time bears live in water?,"Bears can't breathe in water, so they can't live in it, but they can fish in it.",1
Name a kind of ammonia that is a colored gas.,"Gas ammonia is usually colorless, there is no colored gas ammonia",1
Why do not Libai in the Tang Dynasty use newspapers to advertise his poems?,"At the time of Li Bai's life, newspapers had not been invented and could not be used for advertising",1
Why do bears hibernate in Antarctica?,"There are no bears in Antarctica, but polar bears in the Arctic.",1
Why does a stone walk slowly?,The stone is not a living thing. It has no legs so it cannot walk.,1
How do cardinals swim?,"Cardinals are belong to bird, they can't swim but fly.",1
Name a peppermint that can grow in the sea.,Mints are plants that grow on land. They can't grow in sea water,1
List a kind of lilies that grows on trees.,"Lily generally live on the ground, not in the tree, many mushrooms live in the tree.",1
"Which meat is Chinese people's favorite, leek or pork?","Leek is a plant, not a meat.",1
When do you need a overcoat? On a hot afternoon or in a warm room?,"Generally speaking, normal people do not need to wear an overcoat in these two situations, it is too hot.",1
How many eggs does a ungulate mammal lay?,Mammals do not lay eggs; they are viviparous.,1
Name a paper published by Chinese astronomers in  Applied Linguistics.,Astronomers don't usually publish in language journals.,1
Would the leaves be eaten together when human eating wood?,"People seldom think of wood as food, so they generally do not eat wood.",1
Are there many hazels which can grow red nuts in Jilin province?,Hazelnuts are usually brown rather than red.,1
How to cure the illness of healthy people?,A healthy person is by definition a person who has no disease and therefore does not need treatment for his disease.,1
What kind of meat does a drone eat?,They eat nectar but not meat.,1
How many paws do canid have? Three or five?,"A normal dog usually has four PAWS, not three or five",1
How long did it take Shakespeare to climb to the top of the Mount Everest?,There is no record of Shakespeare climbing Mount Everest,1
Where is the best place to watch noise?,Noise is a kind of sound that can only be heard by the ear but not seen.,1
Why human bodies consist three hands and four legs?,"Normal people have two hands, not three.",1
When did Florence Nightingale hold the wedding?,Florence Nightingale never married,1
Name the location of the 4th fists in our body.,"Humans generally have two fists, not four.",1
Where do deer's wings grow?,Deer are not birds and have no wings.,1
How many claws does a human have?,Humans are not birds. Birds have claws.,1
How do cardinals talk?,"The cardinal is a bird, not a man, it can't talk.",1
"Which one does fox feed on, rock or soil?",Rocks and soil are not food. They are not edible. Foxes do not eat them.,1
What material is native bee? Plastic or metal?,"Native bees are animals, not a material.",1
Why people will be rational when drinking too much?,"Generally speaking, being drunk makes you less sane, not more rational.",1
What kind of plant the black racer is?,"A black race is a snake, not a plant.",1
What would happen if fish could swim?,Fish can swim from birth,1
How many arabian jasmines are on the sun?,The sun is too hot for anything to live on.,1
"If I want to plant a weeping willow in the ocean, what should I do?","Weeping willow lives on the land, it can't be planted in the ocean.",1
What kind of bird can use hands to catch worms?,"Birds have wings, but not hands.",1
Where can a rock see art works?,"The rock is not a living thing, it has no eyes, it cannot see.",1
Why will cancer influence us in a good way?,"Diseases are harmful to people, so cancer will not do us good.",1
Why cattle can fly?,A cattle has no wings and no ability to fly.,1
Why Christians have no belief?,"Christians believe in Christianity, so they have faith.",1
"If we want to catch a sparrow on the sun, what should we bring?","The temperature of the sun is so high that no known creatures can live on the sun, let alone catch sparrows on the sun",1
Why disease can make us healthy?,"Sickness brings misery, not health.",1
What other vegetables do you know besides melons?,"Watermelon is a fruit, not a vegetable.",1
