question,answer,label
What causes human have fatty upper arms?,Arm fat is often a result of excess fat in the body.,0
What type of carnivore belongs to the cat family?,Tiger.,0
Why can a mom clean our house and cook for children?,"It is their nature to love their children, and they are happy to give selflessly for them",0
Why can a fish breathe in the ocean?,Because it has gills.,0
"Which one is white, a blackboard or a white board?",A white board is white.,0
How many fins does a whale have?,they usually born with five fins.,0
Why is the blood inside the person constant temperature,Because maintaining a constant temperature is a better way to survive.,0
Is Qinhai lake in China the largest lake ?,"Yes, it is.",0
What kind of vegetable can be made into soybean milk?,Red bean.,0
Did people use electric lamps more often than gas lamps in 2022?,Yes.,0
What kind of facts can be believed by everyone?,Objective facts are believed by everyone.,0
Are the almond in the almond tree delicious?,"Yes, it's delicious. But it depends on people's taste.",0
What material is silk? Protein fibre or cotton?,Silk is protein fibre.,0
Which city is in America. London or Cleveland?,Cleveland.,0
when we get the influenza Should we be treated in time?,"Yes, timely treatment of influenza can help us recover as soon as possible.",0
Why should we play football?,Because it can do good to our health.,0
How often can we harvest broccoli in a year?,"In general, you can harvest up to 2 or 3 times for a period of up to 3 months.",0
Does perfume smells better than navy bean?,"Yes, the perfume is made from natural floral and fruit fragrances",0
"Which action is good for your health, smoking or exercising?",Exercising.,0
When were the antiques in the Forbidden City made? Ming or Qing Dynasty?,"Mostly in the Ming and Qing Dynasties, but also from other dynasties.",0
How many fat cells does an adult have?,About 30 billion.,0
Why does cayenne pepper stimulate blood circulation?,"Because cayenne pepper contains capsaicine that leads to a higher hormone levels in patients, causing nervous excitation that will stimulate blood circulation.",0
Why is cancer harmful?,Because it can lead to death.,0
Do duckweeds grow quickly in the water?,"Yes, duckweeds grow quickly and produce new offshoots rapidly, especially in the water that is rich in nutrients.",0
List two languages spoke in Italy please.,English and Spanish.,0
"Which one drink salty water, computers or sharks?",Sharks drink salty water.,0
How many days does a chicken's egg hatch into a baby chick?,Usually 28 days.,0
Why can mothers get pregnant?,Because mothers are female and have wombs and ovaries.,0
how can heat food by microwave,Usually we just need put the food in it and make it start,0
"If I want to turn a pig into pork, then what should I do?",Kill it and take its meat then you get pork.,0
"Where did the famous novelist, Hemingway, write The Old Man and the Sea?",Hemingway wrote the book in 1951 in Cuba.,0
Why do bears hibernate in winter?,Usually because there isn't enough food or proper temperature for bears. So they eat a lot of food and find a proper cave to hibernate in winter.,0
What causes human usually use upper arms to walk?,"Humans generally walk on their lower limbs, which means they walk on two legs.",1
What type of addax belongs to the cat family?,"Addax is a type of lamb, not cat.",1
Why can a newspaper clean our house and cook for us?,Newspapers are not human beings and cannot perform these acts that humans can do.,1
Why can a desk breathe in the ocean?,"Desk is not alive, and thus desk can't breathe.",1
"Which one is white, a blackboard or a black pant?",The blackboard and black trousers are black.,1
How many fins does a cow have?,Only fish have fins.,1
Why is the blood inside the snake constant temperature?,"Snakes, like all reptiles, are cold-blooded (also known as ectothermic). Snake blood cannot be kept at a constant temperature.",1
Is Qinhai lake in America the largest lake ?,"Qinghai Lake is in China, not in America.",1
What kind of meat can be made into soybean milk?,"Soy milk is made from beans, not from meat.",1
Did people use electric lamps more often than gas lamps in 1700?,Electric light had not yet been invented in 1700.,1
What kind of religious ritual that can be believed by everyone?,There is no religious ceremony that everyone believes in.,1
Are the chestnuts in the almond tree delicious?,"There are almonds on almond trees, and chestnuts grow on chestnut trees.",1
What material is native bee? Plastic or metal?,"Native bees are animals, not a material.",1
"Which city is in America, London or Sydney?","London is in England and Sydney is in Australia, neither of which is in the United States.",1
How can we prevent everyone from getting the influenza?,"Influenza is a disease caused by the influenza virus, which mutates quickly and cannot be prevented.",1
Why should stones play football?,"Stone is not a kind of animal, so stone can't play football,",1
How often can we harvest broccoli from the tall trees?,"Cauliflower grows on farmland, not on trees.",1
Does computer smells better than navy bean?,A computer does not smell.,1
"Which action is good for your health, smoking or eating a lot of sugar?",Smoking and eating a lot of sugar are bad to our health.,1
When were the antiques in the Forbidden City made? yesterday or last week?,Antique is a general term for objects made in ancient times.,1
How many fat cells does one tulip have?,"Plants generally do not have fat cells, animals have fat cells",1
Why does cayenne pepper block blood circulation?,Chili improves blood circulation.,1
Why is cancer harmless?,Cancer is a harmful disease not a harmless disease,1
Do duckweeds grow better in mountains than in the water?,Floating duckweed is a plant that can only live in water.,1
List 78 italian languages please.,Italian language is a kind of language.,1
Which one drinks salty water. Computers or phones?,"Computers and phones aren't animals, they don't drink water.",1
How many days does a cat's egg hatch into a baby cat?,"Cats are mammals, and they give birth to viviparum instead of eggs.",1
Why can fathers get pregnant?,"The father doesn't have a uterus, so he can't get pregnant",1
how can heat microwave by food,Food can't heat microwave. Mrcrowave heat food.,1
"If I want to turn pork into a pig, then what should I do?",Pork comes from pig.,1
"Where did the famous evolutionist, Charles Darwin, write The Old Man and the Sea?","The Old Man and the Sea was written by Ernest Hemingway, not Darwin.",1
Why do bears hibernate in summer?,Bears only hibernate in winter.,1
