question,answer,label
Why is the grass green?,"Because in its leaves, there is a lot of chlorophyll.",0
Why is the ball in a baseball round in shape?,"Because the distance from any point on the surface of the ball to the centre of the ball is equal, friction is low.",0
How can anaerobic bacteria live without oxygen?,Anaerobic bacteria lack a complete respiratory enzyme system and can only ferment in an anaerobic environment.,0
"If an old man doesn't have a mobile phone, how can he pay for clothing in the shopping mall?",He can pay in cash or by bank cards.,0
Name the right place where a cat's legs grow?,A cat has four legs on both sides of its body.,0
What should I do if I want to swim in the sea?,Not only do you have to wear a swimming costume but you must also wear a life jacket before you can go swimming in the sea.,0
Does an aquatic animal lives in the water on the earth?,"Yes, of course, aquatic animal lives in the water.",0
"If hen lay eggs, then how often?",About once a day,0
Which one is the right behave at a wedding? Wish the couple well or fight?,You can wish the couple well at their wedding.,0
Which coutry does your father live in? China or America?,China.,0
Do people often go to church on Sunday?,"Yes, most people take rest on Sunday.",0
"Which country was Shakespeare's home country, China or England?",Shakespeare's home country was England.,0
How can people protect head when riding?,People wear a helmet in order to protect his head.,0
How many legs does a hyaena have?,A hyaena has four legs.,0
Where can I buy a breast pump? Mother and baby shops or toy shops?,Breast pumps can be bought in mother and baby shops.,0
Is drinking alcohol better than drinking water?,"No, drinking water is better, too much alcohol is bad for our liver.",0
Where does cotton grow? in ocean or land?,Land. Cotton is native to semi-arid deserts and requires warm temperatures.,0
"Which one belongs to Europe, Germany or China?",Germany belongs to China.,0
Name a method that a TV can run without electricty?,A UPS or uninterruptible power supply is an emergency power source that you can use if you don't have a battery or a solar panel to power your TV.,0
Why do durians smell bad?,"Durian has volatile sulfides, which are often described as putrid, rotten egg smell, etc. A group of genes in durian associated with volatile sulfides is highly active when the durian is ripe, giving its strong odor.",0
"Which action is good for your health, smoking or exercising?",Exercising.,0
Why analyst is a researchers?,Because analysts analyze problems scientifically.,0
which kind of tool belongs to metal?,Nail usually made by metal,0
How many mouths does a dog have?,A dog has a mouth.,0
"If we want to collect the oxygen in the air, what should we do?",We can collect oxygen in the airy drainage.,0
Can you name one way for a person going to England from French?,He can take a flight.,0
Why did meteorites landed on earth?,Because of the collision between planets.,0
Why is smoking risky?,Because it will hurt human's lungs.,0
"Which meat do Chinese people often see in the market , crocodile or pig?",Pig.,0
Which tool can draw a round? A compass or an eraser.,A compass can be used to draw a round.,0
What kind of action can a drone perform?,Waggle dance.,0
Why does plant cell has nucleus?,"Because the nucleus is the control center of the cell and plays an important role in cell metabolism, growth and differentiation",0
How many angelfish move faster than seahorse in the sea?,"All of them, because the seahorse is the slowest animal to swim in the sea.",0
when we get the influenza Should we be treated in time?,"Yes, timely treatment of influenza can help us recover as soon as possible.",0
Why does concentrated sulphuric acid dehydrate sucrose?,"Because sucrose is an organic substance containing the elements hydrogen and oxygen, it is dehydrated to produce black charcoal, a process known as charring.",0
Can a boy complete Super Mario a game competition?,"maybe, if he is good at playing video games.",0
What are cardigans made of? Wool or leather?,Wool.,0
List one kind of parakeets which can speak.,The adorable Quaker parrots have long been prized for their talking talents and charming personalities.,0
How many closets are there in the bedroom?,There is usually a closet.,0
"Beside jackals, what else animals do you know?","Fox, dog, cat and more.",0
How many degaussing coils are there in the television?,There is a degaussing coil.,0
Where is vanilla native to North American? US or Mexico?,It is native to Mexico.,0
What kind of alcohol is whiskey?,Whiskey belongs to hard liquor. Because the alcohol content of whisky is high.,0
What is the highest speed a car with four square wheels can run in highway?,120 km per hour.,0
What does a beggar do to make a living?,They ask people for money or food.,0
What industry does agriculture belong to?,The first industry.,0
How often does jellyfish hunt for food with their tentacles?,"Jellyfish eat everyday, so they hunt daily.",0
"Which one is the right number for guts of a man, one or four?",A man has one gut.,0
Why do HIVs harmful?,It can damage people's immune system.,0
When will children grow into an adult?,Until they are eighteen years old.,0
How many kilograms of bamboo do pandas eat everyday?,About 15 to 20 kilgrams.,0
Why don't you see swell in small ponds during high winds?,"Because the small ponds are smaller, the waves will be smaller too.",0
Why are white ants bad for trees?,White ants cause serious damage to trees at all ages.,0
"If I want to see a turkey vulture, where can I find one?",Beijing Zoo might have.,0
What should women pay attention to when breastfeeding their child?,"In terms of diet, women should not eat raw, cold and spicy food, and should not eat greasy and fried food when they breastfeeding their child.",0
When does cucumber ready to harvest during growth?,Most are ready for harvest in 50 to 70 days from planting.,0
Who is Obama's wife?,Michele,0
Where the chameleon is visible?,Chameleons are mostly found in rainforest to savannas.,0
"If I want to plant a weeping willow in my garden, what should I do?","Willows grow best in deep, moist but well-drained soil in full sun.  Avoid planting near a house, as the root system can invade drains and foundations.",0
Does the lion run faster then human,"Yes, lion can run about 50 kilometers for one hour, but human just can run about 15 kilometer for one hour",0
"If people pay attention to health, why do human be far away from illness?",Because it is helpful for our body.,0
Why does bust size affect female beauty?,"Because the breast size has to match the figure, too big or too small will affect the aesthetics.",0
"Which one is correct regarding the number of the feet for a human, five or two?",Human have two feets.,0
Who is the famous folk music singer?Sadingding or Lijian,Both of them.,0
Name the frequency for a shark to eat.,Sharks eat every two or three days.,0
"Which can be drunk with the cocktail, stone or Whisky?",Whisky.,0
name two kind of clothes belong to cap,peaked cap and formal hat,0
What kind of plants does the eggplant belong to?,The eggplant belongs to the Solanum genus.,0
which kind of illness does the Covid-19 belongs to? skin illness or  respiratory diseases,it is Respiratory disease,0
"Which one is vegetable, pudding or broccoli?",Broccoli is vegetable.,0
What time of year do Vanda orchids bloom in warm tropical climate zones?,It can bloosm at any time of the year under ideal growing conditions.,0
List one kind of animal that has ears.,Cavies and tigers.,0
When will the sun start to rise?,When the morning comes.,0
List one method apes turn into humans?,By evolution.,0
What kind of exercise does people do to keep healthy? Yoga or Taiji?,Both of these two are popular now.,0
What Dumplings Say About Chinese Culture?,It represent good luck and family reunion.,0
List three things that donors can donate.,"Blood, money and organs.",0
What voice can the human ears hear?,Kids' laughter and so on.,0
Name one way of heating up the room by ice.,Put ice on the ground.,0
What can cause death quickly? cough two times or suicide?,Suicide cause death quickly.,0
List the number of the ears does a rabbit have.,A rabbit has two ears.,0
Why are all mirrors reflective?,The mirror is able to reflect the sun's rays completely due to its smooth surface and the coating on the back of the mirror.,0
Which one is coniferous tree? Korean pine or elm?,Korean pine is coniferous tree.,0
Why is Lu Ban a great locksmith?,Because he invented Lu Ban Lock.,0
How many days does a chicken's egg hatch into a baby chick?,Usually 28 days.,0
When was China founded in Asia?,"China was founded in October 1, 1949.",0
Why will cancer influence us in a bad way?,Because it will attack our cells.,0
What is the color of the leaves of vegetables?,The leaves of vegetables are generally green.,0
How do missiles smash a rock into pieces?,Missiles smash a rock into pieces with massive impact and lethality.,0
"Which one can walk, a jelly or a cab?",A cab can walk.,0
Why do owls forage at night?,Because the dark environment at night is more conducive to owl predation.,0
Name a telecommunication enterprise in 2000 in China.,"China United Communications Co. , Ltd.",0
Where do hyacinth macaws' eyes grow?,There eyes grow on the sides of their heads.,0
Is water consists of lots of water molecules?,"Yes, it also contains some other elements.",0
How do people use wax to make candles?,"First, people should melt the wax. After that, place a wick in the center of the candle mold. Finally, pour the melted wax into the mold and cool it.",0
"If we should drink more water, then how often throughout the day?",You've probably heard the advice to drink eight glasses of water a day.,0
How did Nixon deal with the Watergate Affair?,He resigned from presidency to calm the crowd.,0
Where can a man buy a concert ticket?,He can buy it online.,0
Do aliens really exist?,The question remains to be explored.,0
How can a human survive without car?,Car is not a necessity for human.,0
Name a mammal that lives in the sea.,Dolphin.,0
When did China strat to use cash?,It was about the 5th century of the Tang Dynasty.,0
Which one is the correct number for cattle's stomachs? three or four?,Cattles have four stomaches. Because they are herbivore and plants are difficult to digest.,0
Which substance do you use to make your clothes foam? Laundry detergent or sulphuric acid?,Laundry detergent creates a lot of suds in the wash.,0
What type of carnivore belongs to the cat family?,Tiger.,0
When did the United States drop the Little Boy on Japan?,In 1945.,0
What's the belief of Christians?,They believe in Jesus Christ.,0
"If I want to  enjoy the harvest moon in 2022, what should I do?",Wait until September 10th or 11th.,0
How can a shark hunt?,They swim fast to catch small fishes and then swallow them.,0
list one or two countries on the east side of China?,Korea and Japan.,0
"List the number of days to change a person's metabolism, 30 or 20 days?","It depending, three months is a reasonable timeframe to expect to see changes.",0
"Which one is the weight of a bottle of mineral water, one or five pound?",The weight of a bottle of water is about one pound.,0
Does penguin live in the river of Beijing because it is a bird?,"No, penguin lives in  Antarctica.",0
Name a way that we can wash our hands with water at 20 degrees Celsius?,You can use a bowl to boil the water to 20 degree and wash your hands.,0
Is there any type of phones do Americans like to use?,"Yes, Americans like to use iPhone.",0
Why does people like to drink Coca to keep them awake?,Coca incluidng caffeine which makes you feel more alert when you're tired.,0
Why can falcon fly?,The wings of falcon have specialized feathers for flying,0
How does Madame Curie do when exist devaition in her chemical experiment?,She will try again and again to reduce the devaition.,0
How to eat beef?,"There are different ways for people to eat beef, such as braised beef, grilled beef and beef soup.",0
List one way that how do snakes move?,By crawling.,0
Why anarchist can speak?,Because they have mouth.,0
How about watching movie on TV?,Great idea!,0
How long does it take to become a professional golf player?,you need to train it for at least five years.,0
Why are bananas abundant in the tropics?,The high temperature in the tropics is suitable for the growth of bananas.,0
How does grass grow out of the ground?,It's the nature of plants to grow from the ground after it takes in enough nutrients from the soil.,0
What kind of habitats does swan like?,"A place with lakes, fresh air and abundant plants.",0
What kind of creatures are mushrooms?,Fungi.,0
How do plants draw nutrients directly from the soil?,Because they have roots that can directly absorb nutrients. The soil contains water and minerals that plants depend on for survival.,0
Why is the alcohol green?,Pure alcohol has no colour.,1
Why is the ball in a baseball triangular in shape?,Baseball is round.,1
How can our ancestors live without oxygen?,"Humans need respiration to survive, and respiration needs to consume oxygen, so they can't live without oxygen.",1
"If an old man doesn't have a mobile phone, how can he pay for clothing in the restaurant?","Restaurants are places to eat, they don't sell clothes. Old people can't buy clothes in restaurants, no matter whether they have mobile phones or not.",1
Name the right place where cats' arms grow for swimming?,Only humans have arms.,1
What should I do if I want to swim on the beach?,"We can only swim in water, but there's no water on beach.",1
Does an aquatic animal lives in the water on the  moon?,No water has been found on the moon yet.,1
"If pictures lay eggs, then how often?",Pictures are not living creatures and cannot lay eggs to reproduce.,1
Which one is the right behave at a wedding? Argue loudly or fight?,"People should maintain civilized manners at weddings, loud quarrels and fights are not civilized.",1
Which city does your father live in? China or America?,"China and the United States are countries, not cities",1
Do ants often go to church on Sunday?,"Ants don't have religions, humans often go to church.",1
"Which country was Shakespeare's home country, China or America?",Shakespeare is an Englishman.,1
How can a book protect head when riding?,"A book is an object. It can't move, let alone ride a horse.",1
How many wings does a hyaena have?,Hyacinth is a plant. It doesn't have wings. Birds have wings.,1
Where can I buy a breast pump? Clothing shops or toy shops?,Breast pumps need to be purchased at supermarkets or powder stores.,1
Is drinking magma better than drinking water?,"Magma is not a drink, people can not drink, it has thousands of degrees Celsius.",1
Where does cotton grow? in ocean or sky?,Cotton grows in the fields. There is no soil in the sea or in the sky for it to grow.,1
"Which one belongs to Europe, Japan or Chnia?",Both Japan and China belong to Asia.,1
Name a method that a coral snake can run without electricity.,The coral snake is an animal that moves through its own energy rather than electricity.,1
Why do durians smell sweet?,"Durians taste sweet. The smell of durians闁 evokes reactions from deep appreciation to intense disgust, and has been described variously as rotten onions, turpentine, and raw sewage.",1
"Which action is good for your health, smoking or eating a lot of sugar?",Smoking and eating a lot of sugar are bad to our health.,1
Why analyst have a tail?,"Generally speaking, humans don't have tails, so analysts don't have tails.",1
which kind of water belongs to metal?,"Water is water, metal is metal, the two have no intersection.",1
How many mouths does a grass have?,Usually animals have mouths and plants have no.,1
"If we want to collect the petrol in the air, what should we do?",Gasoline is not in the air and generally requires artificial purification.,1
Can you name one way for a driveway to go to England from French?,"England and France are separated by the English Channel and the Dover Channel, with no driveway.",1
Why did earth often land on meteorites?,Meteorites usually land on earth.,1
Why smoking is not risky?,Smoking hurts people's lungs.,1
"Which meat is Chinese people's favorite, leek or pork?","Leek is a plant, not a meat.",1
Which tool can draw a round? A ruler or an eraser.,"Rulers are usually designed for straight lines, while erasers are used for erasing marks.",1
What kind of lake does a drone like to swim in?,"Drones generally short-circuit when they encounter water, so they can't swim.",1
Why does smartphone has cell nucleus?,Cells are the smallest common denominator of life. A smartphone is non-living thing and it has not cell nucleus.,1
How many angelfish have lived on land since 1990?,"Fish live in the ocean, and angelfish are no exception.",1
How can we prevent everyone from getting the influenza?,"Influenza is a disease caused by the influenza virus, which mutates quickly and cannot be prevented.",1
