question,answer,label
What causes human have fatty upper arms?,Arm fat is often a result of excess fat in the body.,0
What type of carnivore belongs to the cat family?,Tiger.,0
Why can a mom clean our house and cook for children?,"It is their nature to love their children, and they are happy to give selflessly for them",0
Why can a fish breathe in the ocean?,Because it has gills.,0
"Which one is white, a blackboard or a white board?",A white board is white.,0
How many fins does a whale have?,they usually born with five fins.,0
Why is the blood inside the person constant temperature,Because maintaining a constant temperature is a better way to survive.,0
Is Qinhai lake in China the largest lake ?,"Yes, it is.",0
What kind of vegetable can be made into soybean milk?,Red bean.,0
Did people use electric lamps more often than gas lamps in 2022?,Yes.,0
What kind of facts can be believed by everyone?,Objective facts are believed by everyone.,0
Are the almond in the almond tree delicious?,"Yes, it's delicious. But it depends on people's taste.",0
What material is silk? Protein fibre or cotton?,Silk is protein fibre.,0
Which city is in America. London or Cleveland?,Cleveland.,0
when we get the influenza Should we be treated in time?,"Yes, timely treatment of influenza can help us recover as soon as possible.",0
Why should we play football?,Because it can do good to our health.,0
How often can we harvest broccoli in a year?,"In general, you can harvest up to 2 or 3 times for a period of up to 3 months.",0
Does perfume smells better than navy bean?,"Yes, the perfume is made from natural floral and fruit fragrances",0
"Which action is good for your health, smoking or exercising?",Exercising.,0
When were the antiques in the Forbidden City made? Ming or Qing Dynasty?,"Mostly in the Ming and Qing Dynasties, but also from other dynasties.",0
How many fat cells does an adult have?,About 30 billion.,0
Why does cayenne pepper stimulate blood circulation?,"Because cayenne pepper contains capsaicine that leads to a higher hormone levels in patients, causing nervous excitation that will stimulate blood circulation.",0
Why is cancer harmful?,Because it can lead to death.,0
Do duckweeds grow quickly in the water?,"Yes, duckweeds grow quickly and produce new offshoots rapidly, especially in the water that is rich in nutrients.",0
List two languages spoke in Italy please.,English and Spanish.,0
"Which one drink salty water, computers or sharks?",Sharks drink salty water.,0
How many days does a chicken's egg hatch into a baby chick?,Usually 28 days.,0
Why can mothers get pregnant?,Because mothers are female and have wombs and ovaries.,0
how can heat food by microwave,Usually we just need put the food in it and make it start,0
"If I want to turn a pig into pork, then what should I do?",Kill it and take its meat then you get pork.,0
"Where did the famous novelist, Hemingway, write The Old Man and the Sea?",Hemingway wrote the book in 1951 in Cuba.,0
Why do bears hibernate in winter?,Usually because there isn't enough food or proper temperature for bears. So they eat a lot of food and find a proper cave to hibernate in winter.,0
Where do people go to the dentist to get their teeth fixed?,"Mostly, they go to hospital.",0
Can you name one or two advantages that make people better?,"Honesty, kind, and warm-hearted.",0
"If a student want to have basic education, how many years will it takes?","In China, nine years of education is compulsory.",0
List one animal that can swim.,Fish.,0
"Which one belongs to the three large classes of solid materials, nylon or ceramic?",Ceramic is one of three large classes of solid materials.,0
"If I want to extract salt from seawater, what should I do?",The water in the seawater is evaporated to obtain sea salt.,0
How many paws do canid have? Four or five?,Four.,0
Where in North America is America located?,America lies in the middle of North America.,0
Is there any type of phones do Chinese like to use?,"Yes, a lot Chinese use Huawei's mobile phone.",0
"Which one can release oxygen, a lamp or a tree?",A tree can release oxygen.,0
How to bake fish in an oven?,"1.Make a few cuts in the fish. 2. Stuff with ginger, pour some wine and sprinkle with salt. 3. Marinate for an hour or so to taste. 4. Prepare the garnish, sprinkle with cumin and pepper after the fish has been marinated. 5. Line with tin foil, grease and bake in the oven for 15 minutes. 6. Stir-fry the garnish in a pan. 7. Then pour over the fish and serve.",0
which occupation of people can buy a movie ticket?,All occupation can buy movie ticket just if it is affordable,0
"Which color is mammals' blood, blue or red?",Red,0
What does a pianist take for a swim in the sea?,Swimwear.,0
Why the old woman can see movies with eyes?,Because eyes can make things image.,0
List two trees that grow on the earth.,"Such as fruit tree ,maple tree and so on.",0
Why sable wearers should not be exposed to acid?,Because acid can corrode sable.,0
List the number of the cities in China?,There are six hundred and seventy-two cities in China.,0
How do firefighters put out fires with fire truck?,There's water in the fire truck.,0
Are lips of human the same soft as their face?,"Yes, they are about the same soft for they are both boneless.",0
Name three kinds of diseases that an ill person may have.,"Diabetes, cardiac diseases and obesity.",0
List a monkey with golden fur.,Golden Snub-nosed Monkeys.,0
"If a man does proper exercise a day, why he is getting healthier?",Doing exercise can help build a healthy body.,0
"If plants grow well in Beijing, then when is the best time to plant a tree? march or april?",You can choose both month.,0
What kind of animal live in the national forest?,"There are various animals living in the National Forests. For example, rabbits, foxes, raccoons and more.",0
"If a man want to buy a car, then how much money does this man require?",It depends on the type and brands of car.,0
"Which one can use softwares, a rock or a phone?",A phone can use softwares.,0
How can a man have confidence?,Try to find out your advantages.,0
How did an electric motor work nowadays?,Electric motors work by converting electrical energy to mechanical energy in order to create motion.,0
Name a healing method that can treat the tired people.,Massage and meditation are two useful healing methods that can treat the tired people.,0
List the number of the music albums has Jay Chou released?,There are 14.,0
When can people see the light from the fireflies?,"usually at night, because the light from the firefiles is weak",0
List two kinds of music can be heared.,Jazz and rock.,0
Why is it impossible to upload private uploads on government websites?,"Because government websites are protected by the state, uploading information is strictly controlled.",0
